Sample	Series	Speak	Breakpoint_Step	Breakpoint_CBS	Spread	Classification_Label	Decision_Value	Good_Poor	Case_Diagnosis
GSM996097	GSE40546	7.6357	63	72	0.4127	1	1.7371	good	2: good quality, discernible CNAs with few waves
GSM182894	sample_series	1.1509	120	22	0.2526	1	1.4989	good	5: good quality, control or without many CNAs
GSM187938	sample_series	1.4668	118	22	0.7486	2	-1.1687	poor	4: poor quality, few CNAs, few waves, high probe value dispersion
GSM360643	sample_series	1.7975	16	310	0.1874	2	-1.6002	poor	3: poor quality, indiscernible CNAs with many waves
GSM360756	sample_series	4.4271	9	105	0.2376	2	-0.7834	poor	1: hypersegmented, discernible CNAs with some waves
GSM491138	sample_series	11.6022	15	32	0.2547	1	1.7358	good	2: good quality, discernible CNAs with few waves
GSM253751	GSE10044	1.7244	120	88	0.5541	2	-1.99	poor	3: poor quality, indiscernible CNAs with many waves
GSM288815	GSE11447	2.5958	120	22	0.4233	1	0.0396	good	2: good quality, discernible CNAs with few waves
GSM302687	GSE11960	10.4199	30	40	0.2958	1	2.1862	good	2: good quality, discernible CNAs with few waves
GSM253752	GSE10044	1.7959	120	79	0.57	2	-1.9084	poor	3: poor quality, indiscernible CNAs with many waves
GSM253753	GSE10044	1.8861	117	90	0.4062	2	-2.08	poor	3: poor quality, indiscernible CNAs with many waves
GSM253754	GSE10044	1.7931	120	87	0.4453	2	-2.217	poor	3: poor quality, indiscernible CNAs with many waves
GSM253755	GSE10044	1.3497	120	43	0.2241	1	0.3521	good	5: good quality, control or without many CNAs
GSM253756	GSE10044	1.3873	120	44	0.277	2	-0.1176	poor	3: poor quality, indiscernible CNAs with many waves
GSM253757	GSE10044	1.2686	120	22	0.3265	1	0.7396	good	5: good quality, control or without many CNAs
GSM253758	GSE10044	1.2431	120	22	0.2726	1	1.3828	good	5: good quality, control or without many CNAs
GSM253759	GSE10044	1.6281	120	91	0.538	2	-2.1017	poor	3: poor quality, indiscernible CNAs with many waves
GSM253760	GSE10044	1.6853	116	85	0.5733	2	-1.9424	poor	3: poor quality, indiscernible CNAs with many waves
GSM253761	GSE10044	1.8549	119	83	0.4138	2	-2.0788	poor	3: poor quality, indiscernible CNAs with many waves
GSM253762	GSE10044	1.9628	120	85	0.458	2	-2.0597	poor	3: poor quality, indiscernible CNAs with many waves
GSM253763	GSE10044	1.3549	120	32	0.2332	1	1.0421	good	5: good quality, control or without many CNAs
GSM253764	GSE10044	1.3494	120	38	0.2905	1	0.0962	good	5: good quality, control or without many CNAs
GSM253765	GSE10044	1.2157	120	22	0.3433	1	0.4639	good	5: good quality, control or without many CNAs
GSM253766	GSE10044	1.2353	120	22	0.3201	1	0.8196	good	5: good quality, control or without many CNAs
GSM253767	GSE10044	1.9635	119	88	0.5694	2	-1.7776	poor	3: poor quality, indiscernible CNAs with many waves
GSM253768	GSE10044	1.8564	120	96	0.4989	2	-2.0955	poor	3: poor quality, indiscernible CNAs with many waves
GSM253769	GSE10044	1.7954	120	88	0.4471	2	-2.2183	poor	3: poor quality, indiscernible CNAs with many waves
